Accession	Name	Description
222	Achromobacter
1003200	Achromobacter insuavis AXX-A	_blank_
72557	Achromobacter ruhlandii
85698	Achromobacter xylosoxidans
905	Acidaminococcus fermentans	_blank_
469	Acinetobacter
470	Acinetobacter baumannii
696749	Acinetobacter baumannii 1656-2
1082934	Acinetobacter baumannii A424
480119	Acinetobacter baumannii AB0057
710094	Acinetobacter baumannii AB056
710095	Acinetobacter baumannii AB058
710096	Acinetobacter baumannii AB059
557600	Acinetobacter baumannii AB307-0294
557601	Acinetobacter baumannii AB900
405416	Acinetobacter baumannii ACICU
400667	Acinetobacter baumannii ATCC 17978
575584	Acinetobacter baumannii ATCC 19606
509173	Acinetobacter baumannii AYE
497978	Acinetobacter baumannii MDR-ZJ06
509170	Acinetobacter baumannii SDF
526964	Acinetobacter baumannii WBA9388
526963	Acinetobacter baumannii WBL7215
526962	Acinetobacter baumannii WBL7355
1400867	Acinetobacter baumannii ZW85-1	_blank_
106648	Acinetobacter bereziniae
471	Acinetobacter calcoaceticus
909768	Acinetobacter calcoaceticus/baumannii complex	_blank_
107673	Acinetobacter calcoaceticus subsp. anitratus
280147	Acinetobacter courvalinii	_blank_
72607	Acinetobacter genomosp. 13
70345	Acinetobacter genomosp. 14
70346	Acinetobacter genomosp. 15
70347	Acinetobacter genomosp. 16BJ
70348	Acinetobacter genomosp. 17BJ
1120926	Acinetobacter gerneri DSM 14967 = CIP 107464	_blank_
29430	Acinetobacter haemolyticus
40214	Acinetobacter johnsonii
28090	Acinetobacter lwoffii
106654	Acinetobacter nosocomialis
981333	Acinetobacter parvus DSM 16617 = CIP 108168	_blank_
48296	Acinetobacter pittii
40216	Acinetobacter radioresistens
421052	Acinetobacter rudis CIP 110305	_blank_
108981	Acinetobacter schindleri
487316	Acinetobacter soli
472	Acinetobacter sp.
70349	Acinetobacter sp. 631
70350	Acinetobacter sp. 640
62977	Acinetobacter sp. ADP1	_blank_
70351	Acinetobacter sp. BM2722
40373	Acinetobacter sp. CIP-A165
1182652	Acinetobacter sp. enrichment culture clone 8407
309867	Acinetobacter sp. LUH5605
1217712	Acinetobacter sp. NIPH 758	_blank_
72570	Actinomadura sp. R39
1867	Actinoplanes teichomyceticus
2041	Aeromicrobium erythreum	_blank_
642	Aeromonas
656	Aeromonas allosaccharophila
648	Aeromonas caviae
196024	Aeromonas dhakensis
29489	Aeromonas enteropelogenes	_blank_
644	Aeromonas hydrophila
1288394	Aeromonas hydrophila ML09-119	_blank_
651	Aeromonas media
645	Aeromonas salmonicida
29491	Aeromonas salmonicida subsp. salmonicida	_blank_
646	Aeromonas sobria
505724	Aeromonas sp. HCUZ 2422275
654	Aeromonas veronii
114517	Aeromonas veronii bv. sobria
197701	Aeromonas veronii bv. veronii
357	Agrobacterium	_blank_
358	Agrobacterium tumefaciens	_blank_
176299	Agrobacterium tumefaciens str. C58
1813	Amycolatopsis
208443	Amycolatopsis balhimycina
1081091	Amycolatopsis balhimycina DSM 5908
31958	Amycolatopsis orientalis
224324	Aquifex aeolicus VF5
1667	Arthrobacter sp.
81077	artificial sequence	Definition needed.
330879	Aspergillus fumigatus Af293	_blank_
565	Atlantibacter hermannii	_blank_
62928	Azoarcus sp. BH72
1386	Bacillus
1412898	Bacillus amyloliquefaciens CC178	_blank_
326423	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
1392	Bacillus anthracis
261594	Bacillus anthracis str. 'Ames Ancestor'
260799	Bacillus anthracis str. Sterne	_blank_
1396	Bacillus cereus
222523	Bacillus cereus ATCC 10987	_blank_
226900	Bacillus cereus ATCC 14579	_blank_
1053217	Bacillus cereus K-5975c
526984	Bacillus cereus Rock3-29
1053239	Bacillus cereus VD156
1397	Bacillus circulans
79880	Bacillus clausii
66692	Bacillus clausii KSM-K16
1402	Bacillus licheniformis
1408	Bacillus pumilus
1423	Bacillus subtilis
224308	Bacillus subtilis subsp. subtilis str. 168
1428	Bacillus thuringiensis
930170	Bacillus thuringiensis serovar finitimus YBT-020
527030	Bacillus thuringiensis serovar huazhongensis BGSC 4BD1
